,1,3,7,9
walking,10.364423094201674,19.61752935109405,35.10872956990544,41.45881779144538
eating,7.256577792072442,15.274033421928065,31.178404917914747,38.69055442985851
smoking,6.993267983581229,14.51263286889672,29.392549492706063,36.32815787602206
discussion,11.016712448015776,25.488197147671908,57.578991347082756,70.93563088758788
directions,8.245471402702114,19.3624750152836,44.81287630190874,55.41090498053859
greeting,16.792746033800167,37.90263150705597,82.98427638552376,99.45829637997832
phoning,9.041224734808148,19.20224056505177,40.30156519026837,50.15960028169618
posing,11.26215854513939,26.75749817998463,64.0643912189643,81.81519349927177
purchases,13.151716352517013,29.911198571312895,64.1539803137695,78.42993725271613
sitting,9.703027108469184,20.504943172779928,44.55864221764228,56.159408425307454
sittingdown,17.245984272121156,34.15547232786268,71.10115941278167,85.83419812389256
takingphoto,10.696154975356468,23.08671826721491,51.404058733100065,63.257759837395845
waiting,11.135657952999203,24.13042803790486,53.071516112227044,64.35712440767877
walkingdog,20.70541963255399,43.75839848069309,86.20651655140037,100.1671374149146
walkingtogether,9.04562917981829,18.326098600115095,34.33893319266183,41.038805106026786
