,1,3,7,9,13,17,21,24
walking,11.29782772064209,18.821029663085938,32.2187385559082,38.56401062011719,42.057918548583984,43.40886688232422,45.13311004638672,43.51496505737305
eating,9.502120971679688,18.99502944946289,38.88051986694336,47.297035217285156,57.018272399902344,61.95782470703125,70.67668151855469,71.51596069335938
smoking,8.054981231689453,15.339160919189453,25.60372543334961,30.47870635986328,35.18246841430664,42.54949951171875,56.383087158203125,62.531494140625
discussion,10.865358352661133,24.593494415283203,44.23273468017578,50.307350158691406,75.40364837646484,100.18106842041016,112.59336853027344,113.4730224609375
directions,13.213544845581055,24.197233200073242,47.925086975097656,58.693939208984375,78.48357391357422,94.05325317382812,102.20353698730469,101.671630859375
greeting,14.917933464050293,30.03648567199707,68.98931884765625,85.76666259765625,100.14439392089844,101.84709167480469,104.83690643310547,95.1156005859375
phoning,13.173747062683105,21.850292205810547,41.53559875488281,47.890899658203125,63.66096115112305,80.73004150390625,99.25422668457031,113.94515991210938
posing,9.665176391601562,24.988922119140625,64.7035140991211,80.16888427734375,102.99336242675781,129.65199279785156,175.3309326171875,219.85543823242188
purchases,20.543292999267578,40.36740493774414,60.61525344848633,68.61653900146484,86.49937438964844,105.65339660644531,115.76469421386719,125.4630126953125
sitting,11.032005310058594,26.616802215576172,55.95307540893555,67.64120483398438,83.1014404296875,93.80589294433594,100.77018737792969,103.86430358886719
sittingdown,11.539083480834961,27.81264877319336,54.178340911865234,65.78620147705078,83.05091857910156,102.36042785644531,126.31645202636719,145.75457763671875
takingphoto,7.708589553833008,16.518478393554688,39.238529205322266,50.754085540771484,72.64038848876953,81.61053466796875,91.27449035644531,95.86691284179688
waiting,10.462409973144531,24.236988067626953,58.636497497558594,75.3463134765625,100.69186401367188,114.24339294433594,142.47103881835938,164.30223083496094
walkingdog,26.61514663696289,56.82586669921875,102.42112731933594,122.98324584960938,144.4039764404297,167.68167114257812,186.67564392089844,193.46316528320312
walkingtogether,10.131766319274902,21.081357955932617,38.14950180053711,44.743507385253906,55.765480041503906,62.95995330810547,75.79048919677734,84.49944305419922
