,1,3,7,9
walking,8.722213745117188,15.521665573120117,28.36484146118164,32.362281799316406
eating,8.290952682495117,17.67241096496582,36.296226501464844,43.65751647949219
smoking,7.512629508972168,15.433698654174805,27.418987274169922,31.52077865600586
discussion,9.326398849487305,22.143211364746094,40.545997619628906,45.54662322998047
directions,11.40626049041748,21.899417877197266,45.78287887573242,56.14598083496094
greeting,13.50964641571045,26.50780487060547,68.79740905761719,86.14804077148438
phoning,11.777027130126953,20.58669662475586,37.45640563964844,41.72095489501953
posing,8.491084098815918,21.79384994506836,61.23887634277344,76.44048309326172
purchases,18.954696655273438,38.69833755493164,64.53983306884766,72.58906555175781
sitting,11.309549331665039,26.517642974853516,56.14854431152344,69.16590881347656
sittingdown,11.060288429260254,28.222108840942383,56.136383056640625,66.7708511352539
takingphoto,6.587969779968262,15.804259300231934,40.75462341308594,53.088539123535156
waiting,8.885946273803711,20.885990142822266,53.61023712158203,69.78153991699219
walkingdog,24.391742706298828,53.58466720581055,95.64285278320312,110.42648315429688
walkingtogether,8.685338973999023,18.51807403564453,35.36729431152344,45.589271545410156
